"imdb_score","movie_budget","release_day","release_month","release_year","duration","language","country","maturity_rating","aspect_ratio","distributor","nb_news_articles","director","actor1","actor1_star_meter","actor2","actor2_star_meter","actor3","actor3_star_meter","colour_film","genres","nb_faces","plot_keywords","action","adventure","scifi","thriller","musical","romance","western","sport","horror","drama","war","animation","crime","movie_meter_IMDBpro","cinematographer","production_company","biography","comedy","music","fantasy","history","mystery","family","documentary","plot_topic1","plot_topic2","plot_topic3","plot_topic4","plot_topic5","plot_topic6","plot_topic7","plot_topic8"
7.3,25000000,10,"Jan",2014,121,"English","USA","R",2.35,"The Weinstein Company",2141,"John Wells","Benedict Cumberbatch",259,"Meryl Streep",559,"Julia Roberts",513,"Color","Drama",3,"based on play|incestuous relationship|pedophilia|secret|teenage daughter",0,0,0,0,0,0,0,0,0,1,0,0,0,4000,"Adriano Goldman","The Weinstein Company",0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
6.9,35000000,24,"Oct",2003,109,"English","USA","PG",1.85,"Columbia Pictures Corporation",331,"Michael Tollin","Alfre Woodard",2735,"Riley Smith",3915,"Debra Winger",1845,"Color","Biography|Drama|Sport",1,"coach|football|football coach|high school|radio",0,0,0,0,0,0,0,1,0,1,0,0,0,8556,"Don Burgess","Revolution Studios",1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
7.2,30000000,14,"Jan",2005,136,"English","USA","PG-13",2.35,"Paramount Pictures",223,"Thomas Carter","Channing Tatum",573,"Rick Gonzalez",4793,"Robert Ri'chard",6729,"Color","Drama|Sport",0,"basketball|basketball coach|coach|contract|high school",0,0,0,0,0,0,0,1,0,1,0,0,0,3940,"Sharone Meir","Coach Carter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.9,14000000,20,"Aug",2012,92,"English","USA","PG-13",2.35,"Lionsgate",620,"Ole Bornedal","Kyra Sedgwick",2047,"Madison Davenport",1769,"Natasha Calis",11963,"Color","Horror|Thriller",0,"basketball coach|box|jewish|rabbi|yard sale",0,0,0,1,0,0,0,0,1,0,0,0,0,5452,"Dan Laustsen","Ghost House Pictures",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
7.6,8000000,22,"Jun",1979,112,"English","USA","PG",1.85,"Paramount Pictures",97,"Don Siegel","Clint Eastwood",102,"Patrick McGoohan",5062,"Fred Ward",5451,"Color","Biography|Crime|Drama",0,"alcatraz|escape|inmate|island|prison",0,0,0,0,0,0,0,0,0,1,0,0,1,4722,"Bruce Surtees","Paramount Pictures",1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
6.4,20000000,17,"Mar",2006,105,"English","USA","PG-13",1.85,"Lakeshore International",173,"Andy Fickman","Channing Tatum",573,"Alexandra Breckenridge",370,"Laura Ramsey",3711,"Color","Comedy|Romance",0,"disguise|roommate|school|soccer|twin",0,0,0,0,0,1,0,0,0,0,0,0,0,2446,"Greg Gardiner","DreamWorks",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1,22700000,24,"Jun",1987,96,"English","USA","PG",1.85,"Metro-Goldwyn-Mayer (MGM)",408,"Mel Brooks","Joan Rivers",12294,"Dick Van Patten",13732,"Michael Winslow",8419,"Color","Adventure|Comedy|Sci-Fi",2,"parody|planet enclosed within shield|sci fi spoof|self referential|winnebago",0,1,1,0,0,0,0,0,0,0,0,0,0,2294,"Nick McLean","Brooksfilms",0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
8.1,25000000,21,"Nov",2007,122,"English","USA","R",2.35,"Hispanic Education And Media Group",4135,"Ethan Coen","Kelly Macdonald",628,"Stephen Root",2450,"Barry Corbin",3592,"Color","Crime|Drama|Thriller",0,"coin toss|desert|sheriff|texas|tracking device",0,0,0,1,0,0,0,0,0,1,0,0,1,513,"Roger Deakins","Paramount Vantage",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
7.1,45000000,21,"Aug",1998,110,"English","USA","R",2.35,"New Line Cinema",1723,"Stephen Norrington","Sanaa Lathan",547,"Traci Lords",1054,"Udo Kier",3001,"Color","Action|Horror",1,"1990s|blade|blood|vampire|vampire hunter",1,0,0,0,0,0,0,0,1,0,0,0,0,697,"Theo van de Sande","Amen Ra Films",0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1
6.5,40000000,14,"Feb",2007,95,"English","USA","PG-13",1.85,"Warner Bros.",378,"Marc Lawrence","Brad Garrett",358742,"Scott Porter",3086,"Haley Bennett",642,"Color","Comedy|Music|Romance",4,"love|lyricist|singer|singing|song",0,0,0,0,1,1,0,0,0,0,0,0,0,6854,"Xavier Grobet","Castle Rock Entertainment",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
