,movie,word
0,0,based on play
1,0,incestuous relationship
2,0,pedophilia
3,0,secret
4,0,teenage daughter
5,1,coach
6,1,football
7,1,football coach
8,1,high school
9,1,radio
10,2,basketball
11,2,basketball coach
12,2,coach
13,2,contract
14,2,high school
15,3,basketball coach
16,3,box
17,3,jewish
18,3,rabbi
19,3,yard sale
20,4,alcatraz
21,4,escape
22,4,inmate
23,4,island
24,4,prison
25,5,disguise
26,5,roommate
27,5,school
28,5,soccer
29,5,twin
30,6,parody
31,6,planet enclosed within shield
32,6,sci fi spoof
33,6,self referential
34,6,winnebago
35,7,coin toss
36,7,desert
37,7,sheriff
38,7,texas
39,7,tracking device
40,8,1990s
41,8,blade
42,8,blood
43,8,vampire
44,8,vampire hunter
45,9,love
46,9,lyricist
47,9,singer
48,9,singing
49,9,song
50,10,anthology
51,10,corruption
52,10,hearing characters thoughts
53,10,neo noir
54,10,night
55,11,forks washington
56,11,protecting a woman
57,11,title same as book
58,11,vampire
59,11,werewolf
60,12,1969 dodge charger
61,12,bikini
62,12,farm
63,12,misogynist
64,12,tow truck
65,13,alaska
66,13,based on true story
67,13,male nudity
68,13,self discovery
69,13,wilderness
70,14,accountant
71,14,finger gun
72,14,homosexual
73,14,killed in an elevator
74,14,painting
75,15,19th century
76,15,butler
77,15,housemaid
78,15,laboratory
79,15,servant
80,16,baby
81,16,expecting twins
82,16,hawaiian shirt
83,16,photographer
84,16,pregnancy
85,17,1980s
86,17,hockey
87,17,ice hockey
88,17,olympics
89,17,soviet union
90,18,car bomb
91,18,card cheat
92,18,cash
93,18,casino
94,18,gambling syndicate
95,19,dance
96,19,dance crew
97,19,dancer
98,19,mortgage
99,19,new york city
100,20,gay
101,20,gay interest
102,20,high school
103,20,school
104,20,student
105,21,amusement park
106,21,death
107,21,fate
108,21,premonition
109,21,roller coaster
110,22,hitman
111,22,kidnapping
112,22,kosher
113,22,vhs
114,22,video store
115,23,cult film
116,23,elvis
117,23,elvis presley
118,23,nursing home
119,23,texas
120,24,death
121,24,family reunion
122,24,fbi
123,24,fbi agent
124,24,vigilante
125,25,action hero
126,25,disguise
127,25,hospital
128,25,real estate agent
129,25,thief
130,26,dance
131,26,dancer
132,26,school
133,26,showcase
134,26,student
135,27,ghost
136,27,new york city
137,27,phantom
138,27,skull
139,27,superhero
140,28,friend
141,28,night
142,28,party
143,28,sex scene
144,28,sister
145,29,basketball
146,29,boy
147,29,dog
148,29,dog movie
149,29,golden retriever
150,30,british
151,30,cards
152,30,heroin
153,30,murder
154,30,tarot card
155,31,class differences
156,31,killing spree
157,31,one night
158,31,suburb
159,31,violence
160,32,1980s
161,32,airport
162,32,cb radio
163,32,truck
164,32,truck driver
165,33,boy
166,33,brother
167,33,lawyer
168,33,mafia
